,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
75,Awesome,Kumar Abhishek,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
76,Classy product,Yash Aryan,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
77,Fabulous!,Naman Baraiya,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
78,Wonderful,Shailendra Gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Feb, 2020"
79,Perfect iPhone,Sanjeet Desai,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2019"
80,Highly recommended,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
81,Simply awesome,PRASHANT TRIPATHI,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
82,Very Good,PRASHANT Mishra,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
83,good purchase,ANKUR VATSAL,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,26 days ago
84,Super!,appavu rajaganapathy,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jul, 2020"
85,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
86,This is 7. But doesn't live upto expectations.,Rinse John,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
87,Worth every penny,Hemanta Sa,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Sep, 2019"
88,Happy and satisfied,Shrikant Thounaojam,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
89,Wonderful,Pallab Saha,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
90,Highly recommended,Bhanu Pratap,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
91,Awesome but don’t buy Matt black,Arun Kumar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
