,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
189,Mind-blowing purchase,Abhishek Soni,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
190,Happiest customer.,Sajankumar Vijayan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
191,Worth every penny,Akash MM,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
192,Horrible,Deepanshu Pathania,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,1,2 months ago
193,Terrific,Parampal Singh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Mar, 2017"
194,Good choice,Rajvi Modi,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Mar, 2019"
195,Wonderful,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
196,Perfect product!,Naveen Pandey,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Mar, 2019"
197,Excellent product quality & condition by Flipkart,Tanmay Joshi,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2018"
198,i (for ideal) phone,Saurabh Majumdar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
199,Great product,VISHAL VISHWAKARMA,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
200,Awesome,Gagandeep singh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2017"
201,Mind-blowing purchase,Anish Sen,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
202,Worth buy,Anubhav Agarwal,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2016"
203,Wonderful,Vijendra Mishra,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2016"
204,Worth every penny,Gautam Choudhary,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
205,Excellent,Mukul Sharma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2019"
206,Great product,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
207,Delightful,Govind Sharma,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
208,Fabulous!,Ragesh Rajagopalan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
209,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
210,3 Cheers For Flipkart Iphone 7,Nishan Sanghrajka,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
211,Delightful,Samrat Roy,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"May, 2020"
212,Useless product,Rony Mathew,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,1,"Dec, 2016"
213,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
214,True iPhone experience,Ashay Varadkar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
215,Good quality product,Areeba Hussain,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Jan, 2020"
216,Apple countinues to outperform with its new masterpiece,Aftab Mulla,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
217,Worth every penny,Devinder Kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
218,Nice product,Mohd Yasir,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,24 days ago
219,Worth the money,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,4 months ago
220,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
221,Good buy and I am happy with my phone,Rajshree Agrawal,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Aug, 2017"
222,Fully satisfied!!!,Navin Bhatt,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
223,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
224,Terrific,priyanshu kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,1 month ago
225,Terrific,MohitG,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
226,Bye bye andriod,Chandrashekhar Raut,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jul, 2017"
227,"Fastest delivery, very much satisfied",Yeshwanth N,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
228,Worth of upgrade,Kshitij Sharma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
229,Must buy!,Santosh G,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
230,Wonderful,Somdutta Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
231,IPhone,Dr. Soham Prajapati,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
232,Superb product and fantastic service by Flipkart !,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
233,Pretty good,Vinod Kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
234,Best in the market!,Jay Nimavat,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
235,Worth buying it,himanshu sachdeva,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2016"
236,Terrific,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2018"
237,Delightful,Siddharth Behera,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,3 months ago
238,Fair,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,3,3 months ago
239,Worth every penny,SONIKA KUMARI,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
240,Best iPhone ever,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
241,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
242,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
243,Fast!,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
244,Pretty good,suresh b,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,4,"Nov, 2018"
245,"IF U DON'T HAVE AN IPHONE, WELL U DON'T AN IPHONE.",SANCHIT NAGVENKAR,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2016"
246,Good choice,Abhishek Kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
247,Sleeker than ever,Nishant Tiwari,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Mar, 2018"
248,Terrific,Rohit Karati,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
249,Beautiful beast.,Monu Verma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
250,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
251,Simply awesome,ASHISH KANDPAL,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
252,Not recommended at all,NIRANJAN Toshniwal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,1,2 months ago
253,Thanx flipkart for iphone 7,Jaswant Raj,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2017"
254,Highly recommended,Kushal Chakraborty,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
255,Awesome piece of art to be used in Earth,Amit Sankrani,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2017"
256,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
257,My new iPhone..!!,Ravi Chauhan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
258,Just wow!,Debajyoti Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
259,Just wow!,Swarnendu Bose,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
260,TOOOO GOOOOOOD !!!!!!,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
261,Simply awesome,Vicky,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
262,The beast,Aditya Sehgal,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
263,Awesome,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
264,Awesome,Twinkle Sirola,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jun, 2017"
265,My New iPhone7,Muttaqi Ahmed,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
266,Great product,Shankul Mhalsekar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
267,Brilliant,Sayantan Halder,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
268,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
269,Kudos,Chetan gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2018"
270,Very Good must buy at such price,aimana md,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Oct, 2019"
271,Highly recommended,Shubham Singh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
272,The pretty powerhouse in your hand,Sumit Kumar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
273,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
274,Worth every penny,Sayantan Sarkar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
275,Iphone 7 Can handle my speed,Bhikshapathi K,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
276,Mind-blowing purchase,Vishwajit Ranjeet gangane Gangane,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
277,Wonderful,Pallab Saha,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,25 days ago
278,Perfect product!,Shivam Ijardar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
279,Brilliant,Srinivas Rao,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
280,Awesome,ANOOP RUSTAGI,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jul, 2020"
281,Pretty good,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,4,"Nov, 2019"
282,Classy product,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
283,Perfect product!,Mayank Chaube,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Oct, 2018"
284,Really Nice,Sujay Ghosh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,3 months ago
285,Delight,Robin Tamang,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
286,good purchase,ANKUR VATSAL,16% off,NO EMI Plans,No offer Available,"₹12,499","SAMSUNG Galaxy F22 (Denim Blue, 64 GB)  (4 GB RAM)",samsung,4,26 days ago
287,Horrible,Deepanshu Pathania,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,1,2 months ago
288,Excellent service and product,Bhavik Bhavsar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Jan, 2018"
289,Terrific,Amarnath Mishra,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
290,Worth every penny,Hemanta Sa,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Sep, 2019"
291,Worth every penny,tako nama,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2019"
292,Good quality product,Anubhav Bhatia,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
293,Prompt Delivery and awesome phone,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
294,Awesome phone,Aniket Sahani,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Aug, 2017"
295,Super!,Vaikundaraj Ramachandran,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2019"
296,Worth every penny,jigar Thaker,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
297,Mind-blowing purchase,Priyobrata Kundu,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
298,Terrific purchase,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2016"
299,Delightful,Pavan Kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
300,Nice,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,3,"Dec, 2019"
301,Perfect product!,Lakshay Dutta,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
302,Feedback on purchases of iPhone7 and Flipkart,SUDHIR KUMAR BARAL,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Apr, 2017"
303,Amazing I Phone 7 with Excellent Service by Flipkart,Ashok Verma,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2016"
304,Pretty good,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,4,"Nov, 2019"
305,Just okay,rajat ukey,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,3,"May, 2017"
306,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
307,Hated it!,rahul singh solanki,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,1,5 months ago
308,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
309,Terrific,RAVI RAJ PRAKASH,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,5 months ago
310,Must buy!,Arif Iqbal Rana,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Feb, 2019"
311,Did not meet expectations,Marriyam Khan,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,1,"Nov, 2018"
312,Confused | Heating | Few frame drops on normal usage,vinay kumar,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,3,5 months ago
313,Its mid range phone in flagship category,Yashwant,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
314,Very poor,Lalhmingliana Fanai,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,1,"Nov, 2018"
315,"descent phone in this price range ,considering the brand",Sibi Paul U,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
316,Not good as expected,Kumar Kush,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,2,"May, 2018"
317,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
318,Best Phone I ever used,Monin Manu,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"May, 2017"
319,Good,Manas Sharma,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,3,5 months ago
320,Great product,Swapnil Jadhav,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
321,Good choice,Mahi,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,1 month ago
322,Terrific,Bibhash Koley,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,3 months ago
323,Good choice,Karan Verma,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,3 months ago
324,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
325,Must buy!,Haziq Vaid,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Sep, 2017"
326,"Sexy got black, really black!",Priyanka Parkar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
327,Classy product,Ritesh Gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2019"
328,Terrific,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,1 month ago
329,Best phone still @25-27K,Nishant Salunkhe,No Discount,NO EMI Plans,No offer Available,"₹49,999","APPLE iPhone 6 (Gold, 128 GB)",iphone6,1,"Feb, 2017"
330,Super!,Pranesh Pranesh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,2 months ago
331,Could be way better,parag pawar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,2,"Oct, 2019"
332,Its different than android and EASIER ROBUST,Ashok Shakhawar,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,4,"Feb, 2018"
333,iPhone 7 .... just awesome,sougata bose,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2017"
334,Perfect product!,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Dec, 2017"
335,Fabulous!,Sibun kumar patel,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
336,Good product,Abdul Rahaman,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Nov, 2016"
337,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
338,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
339,Excellent phone and worth to buy,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2018"
340,Really Nice,Raj Deb,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
